frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.ttl,tcp.flags
"78","1411630820.116294000","76","37.187.65.250","37.187.81.8","38684","443","62","2"
"79","1411630820.116332000","76","37.187.81.8","37.187.65.250","443","38684","64","18"
"80","1411630820.116582000","68","37.187.65.250","37.187.81.8","38684","443","62","16"
"81","1411630820.116851000","68","37.187.65.250","37.187.81.8","38684","443","62","20"
"82","1411630820.121864000","76","37.187.65.250","37.187.81.8","57121","25","62","2"
"83","1411630820.121889000","56","37.187.81.8","37.187.65.250","25","57121","64","20"
"84","1411630820.127699000","76","37.187.65.250","37.187.81.8","35909","3389","62","2"
"85","1411630820.127737000","56","37.187.81.8","37.187.65.250","3389","35909","64","20"
"86","1411630820.136070000","76","37.187.65.250","37.187.81.8","56201","22","62","2"
"87","1411630820.136139000","76","37.187.81.8","37.187.65.250","22","56201","64","18"
"88","1411630820.136443000","68","37.187.65.250","37.187.81.8","56201","22","62","16"
"89","1411630820.136519000","68","37.187.65.250","37.187.81.8","56201","22","62","20"
"90","1411630820.176546000","76","37.187.65.250","37.187.81.8","51829","53","62","2"
"91","1411630820.176572000","76","37.187.81.8","37.187.65.250","53","51829","64","18"
"92","1411630820.176839000","68","37.187.65.250","37.187.81.8","51829","53","62","16"
"93","1411630820.176892000","68","37.187.65.250","37.187.81.8","51829","53","62","20"
"94","1411630820.215854000","76","37.187.65.250","37.187.81.8","55124","80","62","2"
"95","1411630820.215886000","76","37.187.81.8","37.187.65.250","80","55124","64","18"
"96","1411630820.216126000","68","37.187.65.250","37.187.81.8","55124","80","62","16"
"97","1411630820.216186000","68","37.187.65.250","37.187.81.8","55124","80","62","20"
"98","1411630842.463025000","76","86.12.80.86","37.187.81.8","55112","22898","54","2"
"99","1411630842.463061000","56","37.187.81.8","86.12.80.86","22898","55112","64","20"
"100","1411630902.498425000","76","86.12.80.86","37.187.81.8","58289","22898","54","2"
"101","1411630902.498461000","56","37.187.81.8","86.12.80.86","22898","58289","64","20"
"102","1411630962.490644000","76","86.12.80.86","37.187.81.8","45687","22898","54","2"
"103","1411630962.490678000","56","37.187.81.8","86.12.80.86","22898","45687","64","20"
